# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# Sun Jan 21 03:16:11 2018
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,FS,220,0:09.688.563,51.583 us,20 B,,02,00,   IN txn   [3 POLL],14 03 43 00 4D 00 53 00 49 00 53 00 2D 00 44 00 41 00 50 00
2,FS,221,0:09.688.563,26.166 us,,,02,00,      [3 IN-NAK],
2,FS,222,0:09.688.594,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,223,0:09.688.598,15.416 us,23 B,,02,00,      DATA1 packet,4B 14 03 43 00 4D 00 53 00 49 00 53 00 2D 00 44 00 41 00 50 00 E5 85
2,FS,224,0:09.688.614,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,225,0:09.688.622,7.333 us,0 B,,02,00,   OUT txn,
2,FS,226,0:09.688.622,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,227,0:09.688.626,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,228,0:09.688.629,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,229,0:09.689.043,2.183 us,,,,,[1 SOF],[Frame: 511] 
0,FS,230,0:09.689.475,196.666 us,98 B,,02,00,Get String Descriptor,Index=3 Length=255
1,FS,231,0:09.689.475,12.750 us,8 B,,02,00,   SETUP txn,80 06 03 03 09 04 FF 00
2,FS,232,0:09.689.475,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,233,0:09.689.478,7.516 us,11 B,,02,00,      DATA0 packet,C3 80 06 03 03 09 04 FF 00 96 0A
2,FS,234,0:09.689.487,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,235,0:09.689.500,89.083 us,64 B,,02,00,   IN txn   [4 POLL],62 03 39 00 39 00 30 00 30 00 30 00 30 00 30 00 30 00 33 00 31 00 33 00…
2,FS,236,0:09.689.500,34.750 us,,,02,00,      [4 IN-NAK],
2,FS,237,0:09.689.539,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,238,0:09.689.542,44.750 us,67 B,,02,00,      DATA1 packet,4B 62 03 39 00 39 00 30 00 30 00 30 00 30 00 30 00 30 00 33 00 31 00 33…
2,FS,239,0:09.689.588,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,240,0:09.689.594,63.833 us,34 B,,02,00,   IN txn   [4 POLL],32 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 39 00 37 00 39 00…
2,FS,241,0:09.689.594,29.333 us,,,02,00,      [4 IN-NAK],
2,FS,242,0:09.689.627,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,243,0:09.689.631,24.750 us,37 B,,02,00,      DATA0 packet,C3 32 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 39 00 37 00 39…
2,FS,244,0:09.689.657,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,245,0:09.689.664,7.333 us,0 B,,02,00,   OUT txn,
2,FS,246,0:09.689.664,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,247,0:09.689.668,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,248,0:09.689.671,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,249,0:09.690.043,2.083 us,,,,,[1 SOF],[Frame: 512] 
0,FS,250,0:09.690.305,62.333 us,0 B,,02,00,Set Idle,Duration=Indefinite Report=0
1,FS,251,0:09.690.305,12.666 us,8 B,,02,00,   SETUP txn,21 0A 00 00 03 00 00 00
2,FS,252,0:09.690.305,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,253,0:09.690.308,7.416 us,11 B,,02,00,      DATA0 packet,C3 21 0A 00 00 03 00 00 00 D6 64
2,FS,254,0:09.690.317,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,255,0:09.690.329,37.833 us,0 B,,02,00,   IN txn   [3 POLL],
2,FS,256,0:09.690.329,26.166 us,,,02,00,      [3 IN-NAK],
2,FS,257,0:09.690.360,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,258,0:09.690.363,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,259,0:09.690.366,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,260,0:09.691.043,2.083 us,,,,,[1 SOF],[Frame: 513] 
0,FS,261,0:09.691.389,99.250 us,33 B,,02,00,Get Report Descriptor,Index=3 Length=33
1,FS,262,0:09.691.389,12.666 us,8 B,,02,00,   SETUP txn,81 06 00 22 03 00 21 00
2,FS,263,0:09.691.389,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,264,0:09.691.393,7.516 us,11 B,,02,00,      DATA0 packet,C3 81 06 00 22 03 00 21 00 F0 4B
2,FS,265,0:09.691.401,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,266,0:09.691.414,60.250 us,33 B,,02,00,   IN txn   [3 POLL],06 00 FF 09 01 A1 01 15 00 26 FF 00 75 08 95 40 09 01 81 02 95 40 09 01…
2,FS,267,0:09.691.414,26.333 us,,,02,00,      [3 IN-NAK],
2,FS,268,0:09.691.445,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,269,0:09.691.448,24.250 us,36 B,,02,00,      DATA1 packet,4B 06 00 FF 09 01 A1 01 15 00 26 FF 00 75 08 95 40 09 01 81 02 95 40 09…
2,FS,270,0:09.691.474,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,271,0:09.691.481,7.333 us,0 B,,02,00,   OUT txn,
2,FS,272,0:09.691.481,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,273,0:09.691.485,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,274,0:09.691.488,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,275,0:09.692.044,1.002.250 ms,,,,,[2 SOF],[Frames: 514 - 515] 
0,FS,276,0:09.693.219,119.916 us,64 B,,02,00,Get Input Report,
